name,family,imgsz,cores,smt,logical_cpus,frames,lat_mean_ms,lat_std_ms,lat_median_ms,lat_p95_ms,lat_ci_low,lat_ci_high,fps_mean,decode_mean_ms,preprocess_mean_ms,infer_mean_ms,postprocess_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,torch_threads,baseline_cpu_pct,cpu_model,candidates_per_frame
fast_320,yolo,320,1,0,1,397,33.786,2.691,33.287,37.009,33.555,34.06,29.598,6.664,0.616,31.997,0.576,94.4,94.4,703.2,8,2.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_320,yolo,320,2,0,2,397,23.035,1.652,22.685,25.423,22.88,23.192,43.412,6.054,0.545,21.453,0.542,175.5,87.8,706.6,8,3.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_320,yolo,320,4,0,4,397,20.206,2.282,19.325,22.53,19.993,20.441,49.49,6.065,0.445,18.733,0.532,344.9,86.2,708.0,8,3.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_320,yolo,320,6,0,6,397,19.618,10.154,17.077,27.594,18.672,20.747,50.973,6.305,1.053,17.51,0.54,519.4,86.6,708.1,8,0.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_320,yolo,320,6,1,12,397,17.701,2.273,17.89,19.147,17.493,17.939,56.495,7.179,0.494,16.035,0.588,710.9,59.2,708.9,8,22.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_640,yolo,640,1,0,1,397,84.174,2.981,83.749,88.719,83.885,84.487,11.88,7.145,1.679,81.265,0.603,96.0,96.0,725.4,8,2.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_640,yolo,640,2,0,2,397,60.341,3.423,59.625,66.857,60.024,60.656,16.572,7.09,1.475,57.613,0.6,183.3,91.6,726.6,8,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_640,yolo,640,4,0,4,397,46.505,3.666,45.823,50.718,46.179,46.888,21.503,6.26,1.482,43.867,0.609,361.0,90.3,725.4,8,2.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_640,yolo,640,6,0,6,397,37.142,4.535,36.44,40.06,36.745,37.641,26.924,6.318,1.099,34.886,0.613,546.9,91.1,725.6,8,4.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_640,yolo,640,6,1,12,397,37.372,2.635,37.327,39.94,37.13,37.656,26.758,7.244,1.644,34.478,0.657,743.4,62.0,728.2,8,3.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_960,yolo,960,1,0,1,397,158.184,9.154,157.745,169.732,157.362,159.112,6.322,6.28,3.272,152.477,0.697,96.9,96.9,769.9,8,4.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_960,yolo,960,2,0,2,397,94.175,7.576,90.519,108.786,93.397,94.879,10.618,6.165,2.727,90.124,0.645,189.0,94.5,771.7,8,2.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_960,yolo,960,4,0,4,397,76.206,5.474,75.077,81.158,75.726,76.75,13.122,6.218,2.669,71.933,0.643,372.7,93.2,768.3,8,0.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_960,yolo,960,6,0,6,397,62.6,4.037,62.057,65.829,62.254,63.024,15.975,6.287,2.504,58.255,0.634,564.2,94.0,766.9,8,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
fast_960,yolo,960,6,1,12,397,62.792,2.187,62.671,66.651,62.567,62.988,15.926,7.224,2.872,58.023,0.718,761.2,63.4,769.1,8,9.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_320,yolo,320,1,0,1,397,62.657,1.018,62.461,64.573,62.557,62.757,15.96,6.048,0.533,61.122,0.532,97.0,97.0,749.8,8,4.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_320,yolo,320,2,0,2,397,39.178,0.711,39.118,40.0,39.115,39.255,25.524,6.04,0.446,37.728,0.522,185.1,92.6,749.7,8,2.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_320,yolo,320,4,0,4,397,27.607,0.985,27.444,28.581,27.523,27.711,36.222,6.059,0.46,26.141,0.519,347.7,86.9,748.6,8,1.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_320,yolo,320,6,0,6,397,30.927,13.131,28.021,38.479,29.726,32.301,32.334,6.289,0.571,29.28,0.538,539.6,89.9,749.4,8,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_320,yolo,320,6,1,12,397,28.624,1.371,28.877,30.425,28.486,28.76,34.936,7.192,0.486,26.974,0.591,739.2,61.6,751.6,8,3.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_640,yolo,640,1,0,1,397,200.328,8.975,198.171,214.029,199.529,201.205,4.992,6.137,1.755,195.082,0.579,97.8,97.8,785.5,8,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_640,yolo,640,2,0,2,397,117.445,10.105,111.709,133.683,116.446,118.429,8.515,6.123,1.283,113.399,0.568,191.3,95.6,795.8,8,3.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_640,yolo,640,4,0,4,397,108.106,8.086,110.742,114.045,107.334,108.903,9.25,6.16,1.231,104.75,0.571,378.4,94.6,787.8,8,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_640,yolo,640,6,0,6,397,71.991,5.638,70.911,77.1,71.455,72.583,13.891,6.328,1.185,68.791,0.575,568.3,94.7,787.2,8,1.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_640,yolo,640,6,1,12,397,71.338,2.413,71.136,75.186,71.12,71.572,14.018,7.557,1.661,67.28,0.666,767.0,63.9,792.8,8,1.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_960,yolo,960,1,0,1,397,394.399,7.597,394.206,407.874,393.673,395.124,2.536,6.072,3.217,389.052,0.68,98.5,98.5,843.4,8,2.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_960,yolo,960,2,0,2,397,235.859,24.263,221.091,273.738,233.407,238.156,4.24,6.138,2.848,231.431,0.667,193.3,96.7,846.6,8,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_960,yolo,960,4,0,4,397,219.243,13.359,219.405,231.339,217.956,220.428,4.561,6.218,3.059,214.85,0.675,385.5,96.4,845.2,8,2.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_960,yolo,960,6,0,6,397,146.356,9.995,144.565,161.075,145.52,147.353,6.833,6.383,2.613,142.174,0.661,580.3,96.7,847.5,8,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
yolo_960,yolo,960,6,1,12,397,137.589,3.07,137.12,143.673,137.306,137.887,7.268,7.328,2.925,133.117,0.733,779.7,65.0,847.7,8,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_320,ssd,320,1,0,1,397,40.455,0.568,40.377,41.549,40.404,40.508,24.719,7.57,6.398,31.548,2.51,97.9,97.9,705.8,1,0.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_320,ssd,320,2,0,2,397,34.383,0.424,34.339,35.183,34.34,34.426,29.084,7.643,6.208,25.684,2.492,191.4,95.7,702.8,2,5.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_320,ssd,320,4,0,4,397,31.797,1.062,31.608,33.023,31.704,31.9,31.449,7.312,6.191,23.065,2.542,375.6,93.9,704.3,4,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_320,ssd,320,6,0,6,397,30.532,0.603,30.424,31.728,30.475,30.593,32.753,7.858,6.329,21.624,2.578,561.3,93.5,706.4,6,0.5,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_320,ssd,320,6,1,12,397,39.195,1.305,38.893,41.591,39.059,39.322,25.513,9.042,7.799,27.287,4.11,1110.7,92.6,710.1,12,3.6,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_640,ssd,640,1,0,1,397,125.076,2.784,124.813,128.657,124.806,125.348,7.995,7.232,10.012,113.081,1.982,98.3,98.3,815.0,1,9.4,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_640,ssd,640,2,0,2,397,88.115,2.668,87.598,92.807,87.861,88.373,11.349,7.691,9.472,76.666,1.977,194.4,97.2,797.2,2,8.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_640,ssd,640,4,0,4,397,77.224,4.61,76.83,84.458,76.771,77.725,12.949,7.401,9.38,65.847,1.996,385.2,96.3,813.7,4,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_640,ssd,640,6,0,6,397,75.026,3.562,74.233,81.116,74.692,75.394,13.329,7.968,9.511,63.449,2.066,577.5,96.3,815.4,6,1.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_640,ssd,640,6,1,12,397,87.309,4.368,86.198,95.65,86.877,87.762,11.454,9.386,12.372,71.658,3.279,1116.9,93.1,778.4,12,9.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_960,ssd,960,1,0,1,397,325.016,8.05,324.335,336.029,324.207,325.779,3.077,7.278,16.27,306.122,2.623,98.1,98.1,1019.1,1,0.3,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_960,ssd,960,2,0,2,397,229.62,4.554,228.227,239.163,229.218,230.033,4.355,7.603,15.523,211.459,2.639,196.3,98.2,947.6,2,10.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_960,ssd,960,4,0,4,397,203.749,8.676,200.855,216.947,202.906,204.599,4.908,7.388,15.04,186.016,2.693,391.7,97.9,988.4,4,0.8,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_960,ssd,960,6,0,6,397,202.753,10.663,199.737,218.702,201.729,203.801,4.932,7.646,15.049,184.865,2.839,585.6,97.6,1008.5,6,2.9,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_large_960,ssd,960,6,1,12,397,230.726,7.903,228.527,248.295,229.942,231.532,4.334,9.594,19.641,206.725,4.359,1112.4,92.7,1012.1,12,0.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_small_320,ssd,320,1,0,1,397,27.413,0.396,27.345,28.057,27.376,27.455,36.479,7.232,6.374,18.42,2.619,98.7,98.7,650.9,1,0.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_small_320,ssd,320,2,0,2,397,25.73,0.257,25.686,26.21,25.703,25.753,38.866,7.217,6.198,16.941,2.591,189.4,94.7,663.8,2,1.0,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_small_320,ssd,320,4,0,4,397,25.117,0.409,25.004,25.79,25.077,25.16,39.814,7.445,6.249,16.223,2.645,371.6,92.9,658.5,4,10.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
ssd_small_320,ssd,320,6,0,6,397,24.962,1.494,24.659,25.559,24.831,25.118,40.061,7.884,6.353,15.903,2.706,555.7,92.6,666.9,6,4.1,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD",
